Item;article description;kostpris i danske kroner;beregnet salgspris i danske kroner.
11129010250;HOFKON 290-1 Truss 250mm;310 DK;155 DK
1112901025095;HOFKON 290-1 Truss 250mm sort;357 DK;107 DK
11129010500;HOFKON 290-1 Truss 500mm;310 DK;124 DK
1112901050095;HOFKON 290-1 Truss 500mm sort;425 DK;128 DK
11129011000;HOFKON 290-1 Truss 1000mm;360 DK;144 DK
1112901100095;HOFKON 290-1 Truss 1000mm sort;451 DK;180 DK
11129011500;HOFKON 290-1 Truss 1500mm;402 DK;161 DK
11129012000;HOFKON 290-1 Truss 2000mm;447 DK;179 DK
1112901200095;HOFKON 290-1 Truss 2000mm sort;666 DK;266 DK
11129012500;HOFKON 290-1 Truss 2500mm;497 DK;199 DK
1112901250095;HOFKON 290-1 Truss 2500mm sort;614 DK;246 DK
11129013000;HOFKON 290-1 Truss 3000mm;539 DK;216 DK
1112901300095;HOFKON 290-1 Truss 3000mm sort;898 DK;449 DK
11129013500;HOFKON 290-1 Truss 3500mm;585 DK;292 DK
1112901350095;HOFKON 290-1 Truss 3500mm sort;749 DK;374 DK
11129014000;HOFKON 290-1 Truss 4000mm;606 DK;303 DK
1112901400095;HOFKON 290-1 Truss 4000mm sort;793 DK;397 DK
11129014500;HOFKON 290-1 Truss 4500mm;671 DK;336 DK
1112901450095;HOFKON 290-1 Truss 4500mm sort;882 DK;441 DK
11129015000;HOFKON 290-1 Truss 5000mm;741 DK;370 DK
1112901500095;HOFKON 290-1 Truss 5000mm sort;975 DK;488 DK
11129015555;HOFKon U-Frame hanging Ladder standard w: 600mm/h:;1069 DK;534 DK
1112901555595;HOFKon U-Frame hanging Ladder standard sort Line;1020 DK;510 DK
11129015556;HOFKon U-Frame Top for  Hanging Ladder w:600mm;918 DK;367 DK
1112901555695;HOFKon U-Frame Top for  Hanging Ladder sort Line;1031 DK;412 DK
11129015557;HOFKon U-Frame hanging Ladder long w: 600mm/h: 800;1056 DK;422 DK
11129015558;HOFKon U-Frame hanging Ladder long w: 1100mm/h: 12;1726 DK;863 DK
11129015559;HOFKon U-Frame Top for  Hanging Ladder w:1100mm;1084 DK;542 DK
1112901DROP;HOFKON Droparm T-Bar Hangingbar;338 DK;169 DK
11129020250;HOFKON 290-2 Truss  250mm;640 DK;320 DK
1112902025095;HOFKON 290-2 Truss  250mm sort;615 DK;307 DK
11129020500;HOFKON 290-2 Truss  500mm;722 DK;216 DK
1112902050095;HOFKON 290-2 Truss  500mm sort;684 DK;342 DK
11129021000;HOFKON 290-2 Truss  1000mm;838 DK;419 DK
1112902100095;HOFKON 290-2 Truss  1000mm sort;907 DK;454 DK
11129021500;HOFKON 290-2 Truss  1500mm;984 DK;394 DK
1112902150095;HOFKON 290-2 Truss  1500mm sort;1139 DK;570 DK
11129022000;HOFKON 290-2 Truss  2000mm;1105 DK;553 DK
1112902200095;HOFKON 290-2 Truss  2000mm sort;1367 DK;683 DK
11129022500;HOFKON 290-2 Truss  2500mm;1245 DK;373 DK
1112902250095;HOFKON 290-2 Truss  2500mm sort;1604 DK;802 DK
11129023000;HOFKON 290-2 Truss  3000mm;1386 DK;693 DK
1112902300095;HOFKON 290-2 Truss  3000mm sort;1842 DK;921 DK
11129023500;HOFKON 290-2 Truss  3500mm;1527 DK;763 DK
1112902350095;HOFKON 290-2 Truss  3500mm sort;2093 DK;1047 DK
11129024000;HOFKON 290-2 Truss  4000mm;1675 DK;838 DK
1112902400095;HOFKON 290-2 Truss  4000mm sort;2317 DK;1158 DK
11129024500;HOFKON 290-2 Truss  4500mm;1807 DK;903 DK
1112902450095;HOFKON 290-2 Truss  4500mm sort;2555 DK;25.546728 DK
